time,duration,string,fret,finger,Time,Wx,Wy,Wz,Tx,Ty,Tz,Ix,Iy,Iz,Mx,My,Mz,Rx,Ry,Rz,Px,Py,Pz
0.000000,0.1724137931034483,6,7,4,0.0,0.537153422832489,0.7091684341430664,-3.5402675280238327e-07,0.6492494940757751,0.5273034572601318,-0.1638280600309372,0.5876733064651489,0.6327111721038818,-0.17142905294895172,0.5464829802513123,0.62649005651474,-0.15319682657718658,0.5047575235366821,0.6301558017730713,-0.12906277179718018,0.499576598405838,0.8437454104423523,-0.11094596982002258
0.172414,0.3448275862068966,4,0,,0.172414,0.5334153175354004,0.6948040127754211,-4.7448139639527653e-07,0.6505166292190552,0.5246866941452026,-0.14336104691028595,0.5816985368728638,0.637011706829071,-0.13567914068698883,0.5441070795059204,0.6248180270195007,-0.11970414221286774,0.5065357685089111,0.631534218788147,-0.10188157856464386,0.49776995182037354,0.8081653714179993,-0.08231300115585327
0.172414,0.3448275862068966,5,5,3,0.172414,0.5329218506813049,0.6956263780593872,-4.812976044377137e-07,0.6518459320068359,0.5316294431686401,-0.14567142724990845,0.5805826783180237,0.639250636100769,-0.14202852547168732,0.5422137379646301,0.6228125095367432,-0.12362606078386307,0.5050454139709473,0.630420446395874,-0.10336684435606003,0.4953659474849701,0.8001782298088074,-0.08235007524490356
0.517241,0.1724137931034483,6,7,4,0.517241,0.546623170375824,0.7343454360961914,-3.845632647880848e-07,0.6351972818374634,0.5304588079452515,-0.15362796187400818,0.585962176322937,0.6366268992424011,-0.14843371510505676,0.5407362580299377,0.6196082234382629,-0.13480445742607117,0.5006621479988098,0.6466346979141235,-0.11516587436199188,0.4938565790653229,0.7957408428192139,-0.09550999850034714
0.689655,0.3448275862068966,4,0,,0.689655,0.49654799699783325,0.5500888824462891,-5.007129288969736e-08,0.6330416798591614,0.5321763753890991,-0.1017611101269722,0.5476762652397156,0.6351920366287231,-0.08208440244197845,0.5080996751785278,0.6391865611076355,-0.08536441624164581,0.4760432243347168,0.682781457901001,-0.06893230974674225,0.46578913927078247,0.8175684809684753,-0.06298135221004486
0.689655,0.3448275862068966,5,5,3,0.689655,0.5060095191001892,0.5650084018707275,-1.1972554503358879e-08,0.6216533780097961,0.5282276272773743,-0.11182292550802231,0.5287833213806152,0.6418203711509705,-0.08784949779510498,0.48829472064971924,0.6337721943855286,-0.08686415106058121,0.45799532532691956,0.6656990647315979,-0.0692039281129837,0.4503970444202423,0.8242312669754028,-0.05752472206950188
1.034483,0.3448275862068966,5,7,4,1.034483,0.5118634700775146,0.7297888398170471,-4.933481250191107e-07,0.49794498085975647,0.7160212993621826,-0.09306719154119492,0.5023277997970581,0.6500290632247925,-0.0890214666724205,0.451433002948761,0.6292113065719604,-0.08996710181236267,0.43007349967956543,0.6616209745407104,-0.08356074243783951,0.42389175295829773,0.8141937851905823,-0.06788541376590729
1.034483,0.3448275862068966,6,0,,1.034483,0.5142150521278381,0.7375282645225525,-4.151549433117907e-07,0.5242512226104736,0.695745587348938,-0.10238558053970337,0.5012826919555664,0.6494432687759399,-0.09815613180398941,0.4535088539123535,0.6282316446304321,-0.10110519081354141,0.42880120873451233,0.6637621521949768,-0.09368999302387238,0.4235989451408386,0.8164196014404297,-0.0755857452750206
1.379310,0.1724137931034483,6,0,,1.37931,0.5238896608352661,0.6921720504760742,-4.891329012934875e-07,0.4540829062461853,0.750521183013916,-0.07248689979314804,0.47779980301856995,0.6801993250846863,-0.06732328981161118,0.4445928931236267,0.6365968585014343,-0.06763482838869095,0.4362550973892212,0.6545466780662537,-0.06338631361722946,0.4393082857131958,0.7656196355819702,-0.054459016770124435
1.551724,0.1724137931034483,6,0,,1.551724,0.5143762826919556,0.7022066712379456,-2.910965122282505e-07,0.5913913249969482,0.5796949863433838,-0.12835882604122162,0.5031020641326904,0.6419402360916138,-0.11239820718765259,0.4515693485736847,0.6292964816093445,-0.11089760065078735,0.4274320602416992,0.6566895842552185,-0.09979605674743652,0.4195021390914917,0.8184821605682373,-0.07909175753593445
1.724138,0.3448275862068966,5,7,4,1.724138,0.5141502618789673,0.7081547975540161,-5.008551084983992e-08,0.6090215444564819,0.558235764503479,-0.20009095966815948,0.49877890944480896,0.6430139541625977,-0.19751808047294617,0.45192065834999084,0.6293178796768188,-0.1881028711795807,0.4283195734024048,0.6637669801712036,-0.15952664613723755,0.4306352436542511,0.8376442790031433,-0.1303183138370514
1.724138,0.3448275862068966,6,0,,1.724138,0.515356719493866,0.7061080932617188,-2.5949560722438036e-07,0.602326512336731,0.5760281085968018,-0.13840478658676147,0.5043745636940002,0.6398049592971802,-0.12427950650453568,0.45273566246032715,0.6288558840751648,-0.12302877008914948,0.42568424344062805,0.661091148853302,-0.10726676136255264,0.42061084508895874,0.8277220726013184,-0.08417068421840668
